No,Air Temperature,Air Humidity,MQ135,MQ137,Water Temperature,TDS,Turbudity,pH
1,23.7,66.2,526,390,-127,766,4095,9.12
2,23.6,66,485,373,-127,462,4095,8.97
3,23.7,66.1,498,368,-127,708,4095,9.28
4,23.6,66.1,499,1847,22.13,491,4095,8.96
5,23.6,66.1,496,400,-127,633,4095,8.31
6,23.7,66.2,510,347,22.13,422,4095,9.03
7,23.6,66.1,503,397,22.13,680,4095,9.61
8,23.6,66,528,385,-127,153,4095,8.54
9,23.7,66.1,482,383,-127,615,4095,8.56
10,23.7,66,473,379,-127,907,4095,9.15
11,23.7,65.8,477,372,-127,440,4095,9.14
12,23.7,65.9,496,392,-127,371,4095,9.23
13,23.7,65.9,499,381,-127,831,4095,8.99
14,23.7,65.7,497,375,-127,438,4095,8.87
15,23.7,66,2006,384,-127,1098,4095,9.57
16,23.6,66,488,358,-127,0,4095,8.32
17,23.7,66,505,379,-127,574,4095,8.49
18,23.6,66,485,359,22.13,0,4095,9.46
19,23.7,66.1,489,388,-127,735,4095,10.27
20,23.6,66,494,387,22.19,482,4095,8.9
21,23.6,65.8,490,361,22.19,777,4095,9.02
22,23.6,65.9,455,389,-127,0,4095,9.38
23,23.6,66,481,1177,22.19,1455,4095,9.14
24,23.6,66,510,390,-127,408,4095,9.25
25,23.6,65.9,493,390,-127,595,4095,8.67
26,23.6,65.8,496,386,22.13,32,4095,8.98
27,23.6,65.8,498,398,-127,1792,4095,9.13
28,23.6,66,496,362,-127,292,4095,9.21
29,23.6,65.8,483,364,22.19,565,4095,9.45
30,23.6,66,506,1376,-127,75,4095,8.93
31,23.6,66,588,378,-127,416,4095,9.12
32,23.7,65.9,486,375,-127,351,4095,9.34
33,23.6,65.9,480,358,22.19,895,4095,9.55
34,23.6,65.9,496,373,22.13,447,4095,9.29
35,23.6,65.8,471,377,22.13,447,4095,8.48
36,23.6,65.8,481,355,22.19,735,4095,9.18
37,23.6,65.9,505,408,-127,700,4095,9.27
38,23.7,65.9,471,370,22.19,328,4095,9.37
39,23.7,65.8,467,375,22.19,566,4095,9.41
40,23.7,65.8,487,380,-127,429,4095,8.5
41,23.7,65.9,496,400,-127,447,4095,9.37
42,23.7,65.9,450,291,22.19,639,4095,8.64
43,23.7,65.9,489,368,-127,274,4095,9.01
44,23.7,65.9,448,353,-127,1002,4095,9.39
45,23.7,65.8,466,387,22.19,0,4095,10.04
46,23.7,65.7,489,375,-127,695,4095,7.75
47,23.7,65.9,495,383,22.19,0,4095,9.62
48,23.7,65.8,495,386,-127,351,4095,8.84
49,23.7,65.7,497,641,22.19,192,4095,8.61
50,23.7,65.7,510,394,22.19,846,4095,8.44
51,23.7,65.9,487,383,-127,1023,4095,9.8
52,23.7,65.9,491,368,-127,919,4095,8.77
53,23.7,65.9,481,337,-127,889,4095,9.18
54,23.7,65.8,503,374,-127,352,4095,8.72
55,23.7,65.9,478,366,22.19,731,4095,8.78
56,23.8,65.8,498,393,-127,1024,4095,9.85
57,23.7,65.8,496,388,22.19,562,4095,8.88
58,23.8,65.9,490,394,-127,394,4095,8.06
59,23.8,65.9,526,366,-127,1123,4095,9.55
60,23.7,65.9,528,386,-127,589,4095,9.53
61,23.8,65.8,464,385,-127,495,4095,9.36
62,23.8,65.8,500,391,-127,424,4095,9.31
63,23.8,65.8,499,391,-127,322,4095,8.07
64,23.8,65.7,492,392,-127,40,4095,8.4
65,23.8,65.8,511,368,-127,578,4095,8.93
66,23.8,65.8,528,376,-127,1018,4095,8.76
67,23.8,65.7,511,372,-127,568,4095,8.97
68,23.9,65.7,527,383,-127,687,4095,8.65
69,23.8,65.8,503,387,-127,447,4095,8.6
70,23.8,66,502,400,-127,660,4095,8.55
71,23.8,66,508,383,22.19,420,4095,8.42
72,23.8,65.8,502,377,-127,0,4095,9.25
73,23.8,65.5,475,397,22.19,0,4095,7.44
74,23.8,65.6,493,367,22.19,0,4095,9.66
75,23.8,65.7,482,366,22.19,374,4095,7.98
76,23.8,65.6,462,368,22.19,0,4095,8.66
77,23.8,65.7,493,367,22.19,867,4095,7.86
78,23.8,65.6,496,357,22.19,504,4095,8.76
79,23.8,65.6,479,368,22.19,0,4095,8.84
80,23.8,65.6,497,368,22.19,0,4095,6.83
81,23.8,65.8,489,371,22.19,273,4095,9.78
82,23.8,65.7,469,337,22.19,547,4095,7.03
83,23.8,65.6,474,366,22.19,393,4095,7.86
84,23.8,65.7,507,373,22.19,0,4095,7.34
85,23.8,65.8,497,365,22.19,788,4095,6.91
86,23.8,65.7,489,374,22.19,0,4095,8.17
87,23.9,65.8,510,385,22.19,891,4095,7.53
88,23.8,65.8,483,366,22.19,0,4095,7.58
89,23.8,65.7,463,363,22.19,0,4095,9.37
90,23.9,65.7,454,323,22.19,0,4095,7.82
91,23.9,65.6,511,383,22.19,273,4095,9.13
92,23.9,65.8,501,377,22.19,0,4095,7.89
93,23.9,65.8,502,383,22.19,0,4095,7.56
94,23.9,65.6,496,388,22.19,385,4095,7.97
95,24,65.6,496,368,22.19,891,4095,8.2
96,23.9,65.7,464,384,22.19,577,4095,8.34
97,23.9,65.8,478,391,22.19,0,4095,9.14
98,23.9,65.9,471,362,22.19,493,4095,8.87
99,23.9,65.7,497,357,22.19,408,4095,9.72
100,23.9,65.9,496,376,22.19,0,4095,7.55
